#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
KmVS++Yl%(	JPCARDS	English Profile Vocabulary::A1	he	vocab_1_he	JPCARDS	pronoun		/hiː/		used to refer to a man, boy or male animal that has already been mentioned	Don't ask Andrew, he won't know.<br>There's no need to be frightened - he's a very friendly dog.	He is from Hungary. (Skills for Life (Entry 1); A1; Slovak)		A1
kvO)rXNDEw	JPCARDS	English Profile Vocabulary::A1	July	vocab_56_July	JPCARDS	noun : C or U		/dʒʊˈlaɪ/		the seventh month of the year, after June and before August	22(nd) July/July 22(nd)<br>Ben's birthday is the eleventh of July.<br>next/last July<br>The film festival is in/during July.	The art class after school is on Wednesday[s] until the end of July. (Key English Test; A2; Greek)		A1
m0VK{F*[-C	JPCARDS	English Profile Vocabulary::A1	page	vocab_57_page	JPCARDS	noun : C		/peɪdʒ/		a piece of paper in a book, magazine, etc., or one side of a piece of paper	Now turn to page 17 in your course book.<br>For details on how to enter the competition, see page 134.<br>The article appeared on the front page of the Guardian.	It has 1095 pages and it is very big. (Key English Test; A2; Spanish)		A1
wy4Mz{o,>l	JPCARDS	English Profile Vocabulary::A1	expensive	vocab_58_expensive	JPCARDS	adjective		/ɪkˈspent.sɪv/		costing a lot of money	expensive jewellery<br>He buys very expensive clothes.<br>It's expensive to run a car.<br>She has expensive tastes.	My mother bought the glass for me last year and it's very expensive. (Key English Test; A2; Spanish)		A1
x;E<,fGy2I	JPCARDS	English Profile Vocabulary::A1	February	vocab_59_February	JPCARDS	noun : C or U		/ˈfeb.ru.ər.i/		the second month of the year, after January and before March	28(th) February/February 28(th)<br>I was born on the fifth of February/February the fifth.<br>We moved house last February.<br>We are moving house next February.<br>Building work is expected to start in February.	The class is 27th February at 7:30 p.m. (Key English Test; A2; Spanish)		A1
ep`Dfro;]3	JPCARDS	English Profile Vocabulary::A1	homework	vocab_60_homework	JPCARDS	noun : U		/ˈhəʊm.wɜːk/		work which teachers give students to do at home	Have you done your homework yet?<br>history/maths/science homework	I like doing my homework. (Skills for Life (Entry 1); A1; Polish)		A1
"o^x#SlbRZv"	JPCARDS	English Profile Vocabulary::A1	breakfast	vocab_61_breakfast	JPCARDS	noun : C or U		/ˈbrek.fəst/		the food you eat in the morning after you wake up	What do you want for breakfast?<br>Have you had breakfast?<br>Breakfast is served in the dining room between 8.30 and 10.	You can have breakfast in my house. (Key English Test; A2; Malay)		A1
v*gk1@jaaF	JPCARDS	English Profile Vocabulary::A1	late	vocab_62_late	JPCARDS	adjective		/leɪt/		happening or being near the end of a period of time	It was late at night.<br>Is that the time? I'd no idea it was so late.<br>It was late summer when it happened.<br>It was built in the late nineteenth century.<br>He's probably in his late twenties.	I don't like the time the class finish[es]. It's too late! (Skills for Life (Entry 1); A1; Portuguese)		A1
A&!Ts2TI@z	JPCARDS	English Profile Vocabulary::A1	Monday	vocab_63_Monday	JPCARDS	noun : C or U		/ˈmʌn.deɪ/		the day of the week after Sunday and before Tuesday	I start my new job on Monday.<br>I saw her last Monday.<br>We leave next Monday.<br>The baby was born on a Monday.	She goes to college from Monday to Friday. (Skills for Life (Entry 1); A1; French)		A1
"fgD,/$p{Q#"	JPCARDS	English Profile Vocabulary::A1	radio	vocab_64_radio	JPCARDS	noun		/ˈreɪ.di.əʊ/		a piece of equipment used for listening to radio broadcasts	a car radio<br>Could you turn the radio on?	I want to sell my radio. (Key English Test; A2; Italian)		A1
yZu1I+&YAd	JPCARDS	English Profile Vocabulary::A1	new	vocab_65_new	JPCARDS	adjective		/njuː/		recently made or having started to exist recently	a new car<br>She's very creative and always coming up with new ideas.<br>What's new in the fashion world?<br>We have to invest in new technology if we are to remain competitive.<br>It was a new bike - she never buys anything second-hand.	My friend likes motorbike[s] and now he will buy a new motorbike. (Skills for Life (Entry 1); A1; Greek)		A1
